gene_name	biotype_99	biotype_110	status
A2MP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
AACSP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
AADACP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ABCC13	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ABCC6P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ABCC6P2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ACP2	polymorphic_pseudogene	protein_coding	GAIN
ADAM20P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ADAM6	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ADCY10P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ADGRF2	protein_coding	transcribed_unitary_pseudogene	LOSS
AGAP11	lncRNA	transcribed_unprocessed_pseudogene	LOSS
AGAP12P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
AK4P3	processed_pseudogene	protein_coding	GAIN
AKR7L	polymorphic_pseudogene	protein_coding	GAIN
ALG1L9P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ALMS1P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ALOX12P2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
AMD1	polymorphic_pseudogene	protein_coding	GAIN
AMZ2P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ANKRD18DP	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ANKRD20A11P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ANKRD20A5P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ANKRD36BP2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
AOC4P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
AP1B1P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
APOC1P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
